strains.Species	halophily.Salt	oxygen_tolerance.Oxygen_tolerance
Acidianus_ambivalens		anaerobe
Acidianus_infernus		anaerobe
Acidilobus_aceticus		anaerobe
Acidilobus_saccharovorans		anaerobe
Aeropyrum_camini		aerobe
Aeropyrum_pernix		aerobe
Archaeoglobus_fulgidus		anaerobe
Archaeoglobus_infectus	NaCl	anaerobe
Archaeoglobus_infectus		anaerobe
Archaeoglobus_profundus		anaerobe
Archaeoglobus_sulfaticallidus	NaCl	anaerobe
Archaeoglobus_veneficus		anaerobe
Caldisphaera_lagunensis		anaerobe
Caldivirga_maquilingensis		anaerobe
Cuniculiplasma_divulgatum		anaerobe
Desulfurococcus_mucosus		anaerobe
Ferroglobus_placidus		anaerobe
Fervidicoccus_fontis		anaerobe
Geoglobus_acetivorans		anaerobe
Geoglobus_ahangari		anaerobe
Haladaptatus_cibarius	NaCl	aerobe
Haladaptatus_litoreus	NaCl	aerobe
Halanaeroarchaeum_sulfurireducens	NaCl	anaerobe
Halarchaeum_acidiphilum	NaCl	anaerobe
Halarchaeum_nitratireducens	NaCl	aerobe
Halarchaeum_rubridurum	NaCl	aerobe
Halarchaeum salinum	NaCl	
Haloarchaeobius_baliensis	NaCl	aerobe
Haloarchaeobius_iranensis	NaCl	aerobe
Haloarcula_salaria	NaCl	aerobe
Haloarcula_tradensis	NaCl	aerobe
Halobacterium litoreum	NaCl	
Halobacterium_salinarum	NaCl	anaerobe
Halobaculum_magnesiiphilum	NaCl	aerobe
Halobaculum_roseum	NaCl	aerobe
Halobellus_inordinatus	NaCl	aerobe
Halobellus_limi	NaCl	aerobe
Halobellus_salinus	NaCl	aerobe
Halococcus_hamelinensis	NaCl	aerobe
Haloferax_elongans	NaCl	aerobe
Haloferax_larsenii	NaCl	aerobe
Haloferax_mucosum	NaCl	aerobe
Halogeometricum_limi	NaCl	aerobe
Halogeometricum_pallidum	NaCl	aerobe
Halogranum_rubrum	NaCl	aerobe
Halolamina_salifodinae	NaCl	aerobe
Halolamina_salina	NaCl	aerobe
Halomicroarcula_pellucida	NaCl	aerobe
Halomicrobium_katesii	NaCl	aerobe
Halomicrobium_zhouii	NaCl	aerobe
Halonotius_pteroides	NaCl	aerobe
Haloparvum alkalitolerans	NaCl	
Haloparvum_sedimenti	NaCl	aerobe
Halopelagius_fulvigenes	NaCl	aerobe
Halopelagius_inordinatus	NaCl	aerobe
Halopelagius_longus	NaCl	aerobe
Halopenitus_malekzadehii	NaCl	anaerobe
Halopenitus_persicus	NaCl	aerobe
Halopiger_aswanensis	NaCl	aerobe
Halopiger_salifodinae	NaCl	aerobe
Halopiger thermotolerans	NaCl	
Haloplanus_natans	NaCl	aerobe
Haloplanus_vescus	NaCl	aerobe
Haloprofundus_marisrubri	NaCl	aerobe
Halorhabdus_tiamatea	NaCl	anaerobe
Halorubrum_aidingense	NaCl	aerobe
Halorubrum_californiense	NaCl	aerobe
Halorubrum_ezzemoulense	NaCl	aerobe
Halorubrum halodurans	MgCl2	aerobe
Halorubrum_kocurii	NaCl	aerobe
Halorubrum_lipolyticum	NaCl	aerobe
Halorubrum_luteum	NaCl	aerobe
Halorubrum_pallidum	NaCl	aerobe
Halorubrum_trueperi	NaCl	aerobe
Halosiccatus_urmianus	NaCl	aerobe
Halosimplex pelagicum	NaCl	
Halosimplex_rubrum	NaCl	aerobe
Halostagnicola_kamekurae	NaCl	aerobe
Halostagnicola_larsenii	NaCl	aerobe
Halostella salina	NaCl	
Haloterrigena_daqingensis	NaCl	aerobe
Haloterrigena_limicola	NaCl	aerobe
Haloterrigena_longa	NaCl	aerobe
Haloterrigena_salina	NaCl	aerobe
Halovenus_aranensis	NaCl	aerobe
Halovivax_asiaticus	NaCl	aerobe
Hyperthermus_butylicus		anaerobe
Ignicoccus_hospitalis	NaCl	anaerobe
Ignicoccus_islandicus	NaCl	anaerobe
Ignicoccus_pacificus	NaCl	anaerobe
Ignisphaera_aggregans	NaCl	anaerobe
Methanimicrococcus_blatticola		anaerobe
Methanobacterium_aarhusense		anaerobe
Methanobacterium_alcaliphilum		anaerobe
Methanobacterium_arcticum	NaCl	anaerobe
Methanobacterium_arcticum	NaCl	anaerobe
Methanobacterium_beijingense		anaerobe
Methanobacterium_bryantii		anaerobe
Methanobacterium_congolense		anaerobe
Methanobacterium_espanolae		anaerobe
Methanobacterium_ferruginis	NaCl	anaerobe
Methanobacterium_ferruginis	NaCl	anaerobe
Methanobacterium_flexile		anaerobe
Methanobacterium_formicicum		anaerobe
Methanobacterium_kanagiense		anaerobe
Methanobacterium_lacus	NaCl	anaerobe
Methanobacterium_movens		anaerobe
Methanobacterium_movilense		anaerobe
Methanobacterium_oryzae		anaerobe
Methanobacterium_paludis		anaerobe
Methanobacterium_palustre		anaerobe
Methanobacterium_petrolearium	NaCl	anaerobe
Methanobacterium_petrolearium	NaCl	anaerobe
Methanobacterium_subterraneum		anaerobe
Methanobacterium_thermaggregans		anaerobe
Methanobacterium_veterum	NaCl	anaerobe
